tract,no_internet,no_computer,no_internet_computer_universe,no_internet_pct,no_computer_pct,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037209810,228,85,737,30.9,11.5,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,2618,1660660.4609375,5390.00072037104
06037209820,278,61,780,35.6,7.8,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,2619,1936268.19335938,5687.97411417308
06037210010,460,227,1224,37.6,18.5,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,2620,4448567.77929688,8896.54747760336
06037211000,71,16,1950,3.6,0.8,District 2,Los Angeles - Hancock Park,SPA 4 - Metro,2621,28608477.8242188,25105.8521253101
06037211121,107,29,865,12.4,3.4,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2622,2315992.81835938,7544.02038984272
06037211122,173,103,1142,15.1,9,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2623,3930365.13183594,8273.44654845885
06037211123,78,66,784,9.9,8.4,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2624,1850526.13964844,6797.21218063708
06037211124,193,50,2063,9.4,2.4,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2625,4228641.48144531,8167.54807782011
06037211201,140,19,995,14.1,1.9,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2626,1501881.86914063,4915.68431295678
06037211202,154,81,905,17,9,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2627,1927075.49316406,5559.42145524065
06037211310,271,105,1362,19.9,7.7,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2628,1549860.71484375,4995.20510410081
06037211320,323,137,1236,26.1,11.1,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2629,2004122.24707031,5671.30541080347
06037211410,130,33,1118,11.6,3,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2630,2915308.27734375,7500.7546056114
06037211420,214,65,1264,16.9,5.1,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2631,4101420.13183594,8393.56224256099
06037211500,250,115,1742,14.4,6.6,District 2,Los Angeles - Hancock Park,SPA 4 - Metro,2632,9760679.48046875,13076.5733908899
06037211701,149,93,1152,12.9,8.1,District 2,Los Angeles - Hancock Park,SPA 4 - Metro,2633,7007753.87597656,10536.0578524249
06037211703,212,50,2126,10,2.4,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2634,1986718.89257813,5648.97182007759
06037211704,422,299,1653,25.5,18.1,District 2,Los Angeles - Wilshire Center,SPA 4 - Metro,2635,1990668.86132813,5698.51976252729
06037211802,282,96,2103,13.4,4.6,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2636,3502571.77734375,7938.57062331839
06037211803,122,10,1520,8,0.7,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2637,1501763.78515625,4915.85657360496
06037211804,259,35,1315,19.7,2.7,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2638,2001589.04296875,5672.18261405982
06037211910,286,36,1937,14.8,1.9,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2639,1484978.66699219,4890.3989492367
06037211921,208,11,925,22.5,1.2,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2640,997424.330078125,4152.13256760448
06037211922,184,30,1256,14.6,2.4,District 2,Los Angeles - Little Bangladesh,SPA 4 - Metro,2641,999743.744140625,4155.3381674345
